date,Close,LA,Close_ADR,LA_ADR,Volume_ADR,SMA10,DIF12-26,MACD9,OSC,BIAS5,BIAS10,BIAS20,AR10,Oscillators,5-10MA-Osc,CCI14,CCI28,CCI42,PYS12,PYS24,BR10,MTM10,MA10,ACC10,ATR14,RSI 6,RSI 12,BBand width,RC12,"ERC(12, 12)",9-25MI,HL-Osc,TRIX9,TRIX15,0,ADX10,ADX10,"K(9,3)",J,WA/D,VHF10,Volume,MA5,MA10,MA20,MA60,PVC10,VRC12,OBV,EMV,EMVA10,MFI6,VR10,VA-Osc,FinMaintanR,TAIEXClose,LegalPerson5,LegalPerson10,2303Close,SecurityAssetRate,SecurityBalance,BalanceFinance,BuyAndSellSuper,SecurityTrader5,SecurityTrader10,MainForce5,MainForces10,Volatility
2018/7/16,223.5,0,35.1097,1,4947684,219.4,-0.97,-2.13,1.17,0.01,0.02,0.02,1.25,52.75,2.7,72.52,31.51,4.54,0.67,0.58,4.4,9.5,0.1,26.5,3.82,0.64,0.55,0.06,0.05,0,25,33.33,-0.04,-0.15,32.1,23.26,18.4,0.82,1.02,-10.5,0.54,16107,22077,24514,33297,34748,-0.34,-0.59,-792865,0.7,0.66,87.04,3.52,-16107,1.66,10817.45,-2875,20364679,17.25,0.09,1241,14555,235,156,1540908,7498,7342,0.2
2018/7/17,221.5,1,35.1283,1,5399217,220.1,-0.78,-1.86,1.08,0,0.01,0.01,1.17,53.17,1.9,46.37,5.1,-17.7,0.58,0.54,2.57,7,1.85,17.5,3.75,0.54,0.51,0.06,0.02,0,24.93,0,0,-0.13,29.96,28.38,16.83,0.78,0.86,-12.5,0.5,22554,22548,23903,31368,32959,-0.06,-0.39,-815419,-2.22,0.56,68.28,2.11,-13532.4,1.64,10778.99,-142,20364533,17.25,0.08,1218,14769,59,-1268,1539640,7583,8851,0.17
2018/7/18,223,1,35.3607,1,6238488,220.8,-0.54,-1.6,1.06,0,0.01,0.02,1.27,52.78,1.8,55.27,24.31,-5.36,0.67,0.54,2.33,7,3.55,17,3.61,0.6,0.53,0.05,0.04,0.01,24.72,100,0.03,-0.11,29.27,26.42,15.66,0.79,0.85,-11,0.5,45803,27738,26948,31622,32524,0.7,0.37,-769616,0.33,0.5,73.43,2.51,0,1.65,10842.46,3711,20374123,17.4,0.09,1240,14514,3819,227,1539867,21667,21440,0.17
2018/7/19,224.5,1,35.7046,1,10532157,221.8,-0.17,-1.31,1.14,0,0.01,0.03,1.32,52.26,1.6,81.63,59.49,25.93,0.67,0.58,7.5,10,5.75,22,3.54,0.65,0.56,0.04,0.05,0.01,24.52,100,0.06,-0.1,34.27,23.53,15.95,0.77,0.78,-9.5,0.38,43976,31772,29523,32192,32503,0.49,0.53,-725640,1.56,0.93,87.72,4.05,-43976,1.66,10835.38,9096,20390307,17.6,0.12,1585,13599,2929,7470,1547337,17784,10314,0.17
2018/7/20,237.5,1,37.006,1,17762344,223.85,1.01,-0.85,1.86,0.05,0.06,0.08,1.62,56.62,2.15,195.23,193.71,158.91,0.67,0.58,-6.5,20.5,8.85,31,4.11,0.85,0.72,0.09,0.1,0.03,24.47,100,0.13,-0.07,47.44,16.87,19.11,0.84,0.96,3.5,0.57,103652,46418,36754,35165,33414,1.82,5.75,-621988,4.12,1.16,91.66,5.28,103652,1.75,10932.11,39818,20432502,17.85,0.19,2151,11473,9952,33734,1581071,49197,15463,0.26
2018/7/23,241,0,37.8612,1,14481042,225.8,2.33,-0.21,2.54,0.05,0.07,0.09,1.95,59.01,3.7,207,229.91,213.64,0.75,0.63,-7.56,19.5,10.45,16,4.32,0.88,0.74,0.12,0.12,0.04,24.45,100,0.23,-0.03,55.52,14.27,23.11,0.85,0.93,7,0.71,52270,53651,37864,35325,33483,0.38,1.87,-569718,8.08,1.48,92.39,5.47,-12062.31,1.77,10946.89,16438,20451347,18.25,0.21,2315,10916,-3576,8451,1589522,24098,15647,0.26
2018/7/24,241,0,37.8705,0,6832856,227.7,3.27,0.48,2.78,0.03,0.06,0.09,1.9,60.42,5.7,152.81,193.19,187.78,0.67,0.58,-21.33,19,11.6,11.5,4.32,0.88,0.74,0.14,0.11,0.05,24.51,16.67,0.33,0.02,51.97,13.36,26.71,0.85,0.9,7,0.72,27468,54634,38591,34545,33366,-0.29,-0.12,-569718,-1.91,1.06,83.13,4.34,18312,1.77,10995.39,-9,20450564,18.2,0.21,2233,10839,2872,2306,1591828,15557,13251,0.25
2018/7/25,240.5,1,37.5452,1,7018282,229.75,3.94,1.18,2.77,0.02,0.05,0.08,2.59,62.18,7.15,121.84,170.06,175.42,0.58,0.54,-9.71,20.5,12.95,13.5,4.25,0.85,0.73,0.15,0.09,0.06,24.46,0,0.42,0.06,49.62,12.76,29.95,0.84,0.86,6.5,0.75,21530,49779,38759,33578,33250,-0.44,-0.48,-591248,0,1.47,82.93,4.24,10765,1.77,10965.79,1618,20448930,18.2,0.21,2231,10869,1438,2340,1594168,10382,8042,0.25
2018/7/26,241,1,38.0099,0,7722415,231.8,4.49,1.84,2.65,0,0.04,0.07,1.95,63.49,8.4,102.77,159.43,174.19,0.58,0.54,-7.56,20.5,14.15,12,4.25,0.85,0.74,0.15,0.09,0.06,24.5,66.67,0.48,0.1,49.65,11.86,33.09,0.84,0.85,8,0.71,30856,47155,39464,33180,33124,-0.22,0.53,-560392,0.97,1.39,82.22,4.34,0,1.77,11010.61,-935,20446988,17.5,0.21,2253,10693,4062,1192,1595360,11930,10738,0.25
2018/7/27,244.5,1,37.9449,1,8476564,233.8,5.07,2.48,2.59,0.01,0.05,0.08,1.82,65.25,7.8,99.88,161.95,187.4,0.67,0.58,-13.4,20,15.35,12,4.07,0.89,0.77,0.15,0.11,0.07,24.54,100,0.54,0.15,50.27,10.88,36.23,0.88,0.96,11.5,0.85,27130,31851,39135,32694,33018,-0.31,0.37,-533262,2.26,1.39,81.28,4.29,27130,1.79,11075.78,9923,20456791,17.3,0.25,2510,9990,1794,7086,1602446,16691,9605,0.24
2018/7/30,245.5,1,38.5305,0,9468457,236,5.59,3.11,2.49,0.01,0.04,0.08,1.95,67.68,6.5,94.04,157.43,192.96,0.67,0.63,-11.33,22,16.6,12.5,4,0.9,0.78,0.15,0.11,0.08,24.53,66.67,0.59,0.19,50.9,10.46,39.2,0.92,1.02,13,0.89,22804,25958,39804,32159,32923,-0.43,-0.04,-510458,1.32,1.45,73.26,5.88,22804,1.8,11033.54,5316,20461657,17.2,0.27,2642,9649,1908,5686,1608132,12743,7057,0.23
2018/7/31,246,1,38.1959,1,5174338,238.45,5.92,3.67,2.26,0.01,0.03,0.07,2.1,68.62,5.05,73.73,139.22,178.77,0.67,0.67,-17.25,24.5,18.35,17.5,4,0.9,0.78,0.13,0.1,0.08,24.57,12.5,0.62,0.23,45.73,14.48,40.47,0.95,1.05,17,0.9,28203,26105,40369,32136,32997,-0.3,-0.07,-482255,-1.06,1.57,51.24,10.45,28203,1.8,11057.51,292,20461949,17.55,0.29,2737,9455,3740,3229,1611361,15335,12106,0.23
2018/8/1,248,0,38.3074,1,4908316,240.95,6.33,4.2,2.13,0.01,0.03,0.07,2.2,71.6,4.05,74.99,143.07,191.78,0.75,0.71,-17,25,20.15,18,3.86,0.92,0.8,0.1,0.11,0.08,24.51,100,0.64,0.27,48.63,13.7,42.02,0.97,1.06,19,0.9,29777,27754,38767,32857,32821,-0.23,0.85,-452478,1.64,1.7,69.1,9.99,29777,1.81,11098.13,4440,20466419,17.4,0.3,2862,9466,1932,4477,1615838,17398,12921,0.23
